title,ingredients,steps,cuisine,rating
Golden Chicken! .,"basil, milk, beef, spinach, onion, rice! .",Garnish with herbs -> Chop ingredients -> Heat oil! .,AMERICAN! .,3.0
Sweet & Spicy Carrot! .,"garlic, carrot, pepper! .",Boil water -> Let it simmer -> Chop ingredients -> Mix ingredients! .,THAI! .,2.0
Herbal Lemon Rice! .,"basil, chili, butter, milk! .",Serve hot -> Heat oil -> Add seasoning! .,MEXICAN! .,4.0
Sugar Glazed Rice! .,"rice, butter, chicken, onion, basil! .",Serve hot -> Mix ingredients -> Let it simmer -> Chop ingredients -> Boil water! .,CHINESE! .,4.0
Golden Chicken! .,"rice, butter, flour! .",Let it simmer -> Add seasoning -> Bake at 350°F -> Chop ingredients -> Garnish with herbs! .,MEXICAN! .,5.0
Spaghetti Delight! .,"chicken, milk, tomato, olive oil! .",Boil water -> Bake at 350°F -> Mix ingredients! .,INDIAN! .,5.0
Sweet & Spicy Carrot! .,"egg, turmeric, olive oil, spinach! .",Mix ingredients -> Serve hot -> Heat oil! .,ITALIAN! .,2.0
Herbal Lemon Rice! .,"spinach, cheese, egg, pepper, potato! .",Boil water -> Heat oil -> Mix ingredients! .,AMERICAN! .,3.0
Sugar Glazed Rice! .,"carrot, sugar, cheese, basil, vanilla! .",Chop ingredients -> Heat oil -> Let it simmer -> Add seasoning -> Serve hot! .,FRENCH! .,2.0
Spaghetti Delight! .,"cheese, potato, basil! .",Heat oil -> Let it simmer -> Serve hot -> Add seasoning! .,FRENCH! .,5.0
Sweet & Spicy Carrot! .,"vanilla, potato, pasta, flour, beef, milk! .",Boil water -> Mix ingredients -> Bake at 350°F -> Serve hot! .,FRENCH! .,5.0
Herbal Lemon Rice! .,"chicken, cumin, tomato, carrot, lemon! .",Heat oil -> Add seasoning -> Chop ingredients! .,THAI! .,1.0
Sugar Glazed Rice! .,"onion, butter, spinach, pepper, salt! .",Serve hot -> Heat oil -> Mix ingredients -> Garnish with herbs -> Bake at 350°F! .,CHINESE! .,5.0
Golden Chicken! .,"butter, olive oil, sugar, carrot, pepper, spinach! .",Heat oil -> Serve hot -> Let it simmer! .,CHINESE! .,4.0
Spaghetti Delight! .,"garlic, tomato, butter, vanilla, onion, milk! .",Garnish with herbs -> Boil water -> Add seasoning -> Chop ingredients -> Mix ingredients! .,ITALIAN! .,1.0
Herbal Lemon Rice! .,"lemon, vanilla, milk, olive oil! .",Bake at 350°F -> Mix ingredients -> Let it simmer! .,CHINESE! .,4.0
Sugar Glazed Rice! .,"garlic, milk, spinach! .",Boil water -> Add seasoning -> Let it simmer! .,THAI! .,2.0
Golden Chicken! .,"lemon, rice, onion, chili, vanilla! .",Heat oil -> Boil water -> Garnish with herbs -> Bake at 350°F! .,INDIAN! .,2.0
Sweet & Spicy Carrot! .,"basil, potato, beef, flour! .",Mix ingredients -> Bake at 350°F -> Chop ingredients -> Let it simmer -> Garnish with herbs! .,MEXICAN! .,5.0
Herbal Lemon Rice! .,"cheese, salt, milk, turmeric, chili, flour! .",Mix ingredients -> Serve hot -> Heat oil -> Bake at 350°F! .,ITALIAN! .,4.0
Sugar Glazed Rice! .,"chili, egg, spinach, chicken, carrot! .",Let it simmer -> Add seasoning -> Boil water! .,FRENCH! .,3.0
Golden Chicken! .,"cumin, basil, olive oil! .",Garnish with herbs -> Bake at 350°F -> Mix ingredients -> Serve hot! .,FRENCH! .,4.0
Spaghetti Delight! .,"onion, olive oil, rice, vanilla, spinach, lemon! .",Boil water -> Serve hot -> Garnish with herbs -> Chop ingredients! .,INDIAN! .,1.0
Herbal Lemon Rice! .,"butter, pepper, carrot! .",Heat oil -> Serve hot -> Garnish with herbs -> Let it simmer! .,THAI! .,4.0
Sugar Glazed Rice! .,"rice, lemon, turmeric, basil, garlic! .",Chop ingredients -> Bake at 350°F -> Heat oil -> Let it simmer -> Garnish with herbs! .,MEXICAN! .,2.0
Golden Chicken! .,"onion, cheese, rice! .",Garnish with herbs -> Let it simmer -> Add seasoning -> Heat oil -> Boil water! .,AMERICAN! .,5.0
Sweet & Spicy Carrot! .,"flour, spinach, butter, rice, vanilla, chicken! .",Garnish with herbs -> Serve hot -> Boil water -> Heat oil! .,FRENCH! .,4.0
Sugar Glazed Rice! .,"carrot, onion, milk, chicken, egg, olive oil! .",Add seasoning -> Serve hot -> Mix ingredients! .,FRENCH! .,1.0
Golden Chicken! .,"sugar, butter, pasta! .",Heat oil -> Bake at 350°F -> Mix ingredients -> Chop ingredients -> Serve hot! .,AMERICAN! .,1.0
Spaghetti Delight! .,"cheese, chicken, egg, butter, milk, pasta! .",Heat oil -> Add seasoning -> Chop ingredients -> Garnish with herbs -> Bake at 350°F! .,ITALIAN! .,2.0
Sweet & Spicy Carrot! .,"beef, spinach, egg, milk! .",Garnish with herbs -> Serve hot -> Boil water -> Let it simmer -> Heat oil! .,ITALIAN! .,5.0
Herbal Lemon Rice! .,"carrot, turmeric, cumin, onion! .",Boil water -> Heat oil -> Garnish with herbs! .,MEXICAN! .,1.0
Sugar Glazed Rice! .,"tomato, garlic, carrot! .",Add seasoning -> Serve hot -> Heat oil -> Boil water -> Garnish with herbs! .,MEXICAN! .,3.0
Golden Chicken! .,"pasta, turmeric, vanilla, chili, beef! .",Bake at 350°F -> Add seasoning -> Chop ingredients -> Serve hot -> Heat oil! .,FRENCH! .,5.0
Spaghetti Delight! .,"salt, turmeric, lemon, potato, pasta! .",Boil water -> Chop ingredients -> Bake at 350°F -> Mix ingredients -> Heat oil! .,THAI! .,3.0
Sweet & Spicy Carrot! .,"olive oil, sugar, rice, carrot, cheese! .",Bake at 350°F -> Boil water -> Serve hot! .,FRENCH! .,2.0
Herbal Lemon Rice! .,"rice, milk, butter, turmeric! .",Chop ingredients -> Add seasoning -> Heat oil! .,INDIAN! .,2.0
Sugar Glazed Rice! .,"cheese, potato, garlic! .",Boil water -> Let it simmer -> Bake at 350°F -> Chop ingredients! .,INDIAN! .,3.0
Golden Chicken! .,"vanilla, chili, cheese, potato, onion, sugar! .",Bake at 350°F -> Boil water -> Let it simmer -> Mix ingredients -> Heat oil! .,CHINESE! .,2.0
Sweet & Spicy Carrot! .,"lemon, tomato, cheese, butter, pasta! .",Garnish with herbs -> Add seasoning -> Serve hot -> Let it simmer! .,INDIAN! .,4.0
Herbal Lemon Rice! .,"pasta, chicken, pepper! .",Let it simmer -> Mix ingredients -> Chop ingredients -> Add seasoning -> Boil water! .,CHINESE! .,2.0
Golden Chicken! .,"salt, tomato, spinach, pepper, egg! .",Mix ingredients -> Serve hot -> Garnish with herbs -> Heat oil! .,INDIAN! .,5.0
Spaghetti Delight! .,"tomato, salt, milk! .",Chop ingredients -> Let it simmer -> Bake at 350°F! .,MEXICAN! .,5.0
Sweet & Spicy Carrot! .,"pasta, onion, rice! .",Heat oil -> Garnish with herbs -> Add seasoning -> Serve hot -> Mix ingredients! .,FRENCH! .,4.0
Herbal Lemon Rice! .,"rice, beef, spinach, garlic, cumin! .",Bake at 350°F -> Heat oil -> Serve hot! .,MEXICAN! .,5.0
Golden Chicken! .,"flour, basil, cumin, turmeric! .",Heat oil -> Bake at 350°F -> Serve hot! .,MEXICAN! .,1.0
Spaghetti Delight! .,"turmeric, milk, basil! .",Garnish with herbs -> Bake at 350°F -> Heat oil -> Serve hot! .,INDIAN! .,2.0
Sweet & Spicy Carrot! .,"rice, egg, potato! .",Boil water -> Let it simmer -> Heat oil -> Mix ingredients -> Serve hot! .,ITALIAN! .,2.0
Herbal Lemon Rice! .,"pepper, pasta, basil, tomato, spinach, flour! .",Let it simmer -> Chop ingredients -> Add seasoning -> Garnish with herbs! .,FRENCH! .,3.0
Sugar Glazed Rice! .,"milk, butter, potato, garlic! .",Chop ingredients -> Mix ingredients -> Garnish with herbs -> Serve hot -> Boil water! .,FRENCH! .,4.0
Golden Chicken! .,"butter, egg, spinach! .",Serve hot -> Bake at 350°F -> Let it simmer! .,THAI! .,3.0
Spaghetti Delight! .,"spinach, flour, turmeric, beef! .",Let it simmer -> Bake at 350°F -> Boil water -> Chop ingredients -> Garnish with herbs! .,AMERICAN! .,3.0
Herbal Lemon Rice! .,"basil, garlic, milk, potato! .",Chop ingredients -> Bake at 350°F -> Let it simmer -> Serve hot -> Boil water! .,MEXICAN! .,1.0
Sugar Glazed Rice! .,"onion, chili, cheese, sugar, vanilla! .",Serve hot -> Chop ingredients -> Boil water -> Mix ingredients -> Add seasoning! .,INDIAN! .,2.0
Golden Chicken! .,"rice, vanilla, olive oil, salt, basil, potato! .",Add seasoning -> Bake at 350°F -> Chop ingredients -> Serve hot -> Let it simmer! .,MEXICAN! .,2.0
Spaghetti Delight! .,"pepper, turmeric, flour, chili, egg! .",Boil water -> Heat oil -> Serve hot -> Add seasoning -> Mix ingredients! .,ITALIAN! .,4.0
Sweet & Spicy Carrot! .,"butter, beef, pasta, basil, carrot! .",Bake at 350°F -> Add seasoning -> Chop ingredients -> Garnish with herbs! .,THAI! .,3.0
Herbal Lemon Rice! .,"spinach, chili, cumin, vanilla, basil! .",Boil water -> Heat oil -> Let it simmer! .,CHINESE! .,2.0
Sugar Glazed Rice! .,"butter, beef, garlic! .",Mix ingredients -> Boil water -> Serve hot -> Garnish with herbs! .,AMERICAN! .,2.0
Golden Chicken! .,"lemon, butter, garlic, milk! .",Mix ingredients -> Heat oil -> Add seasoning -> Boil water -> Serve hot! .,AMERICAN! .,3.0
Spaghetti Delight! .,"spinach, egg, butter, cumin, vanilla! .",Serve hot -> Garnish with herbs -> Boil water -> Heat oil -> Add seasoning! .,ITALIAN! .,3.0
Sweet & Spicy Carrot! .,"butter, turmeric, cumin! .",Add seasoning -> Boil water -> Garnish with herbs -> Serve hot! .,INDIAN! .,1.0
Sugar Glazed Rice! .,"garlic, pasta, rice, tomato, onion! .",Bake at 350°F -> Garnish with herbs -> Heat oil -> Mix ingredients -> Serve hot! .,THAI! .,5.0
Golden Chicken! .,"chicken, garlic, chili! .",Heat oil -> Serve hot -> Add seasoning! .,THAI! .,4.0
Spaghetti Delight! .,"chili, tomato, carrot! .",Boil water -> Bake at 350°F -> Chop ingredients -> Let it simmer! .,THAI! .,2.0
Sweet & Spicy Carrot! .,"milk, flour, onion! .",Serve hot -> Heat oil -> Boil water -> Mix ingredients! .,ITALIAN! .,2.0
Herbal Lemon Rice! .,"potato, basil, flour, olive oil, sugar! .",Garnish with herbs -> Mix ingredients -> Chop ingredients! .,ITALIAN! .,4.0
Sugar Glazed Rice! .,"chicken, onion, milk! .",Serve hot -> Chop ingredients -> Let it simmer -> Add seasoning! .,FRENCH! .,2.0
Spaghetti Delight! .,"butter, turmeric, basil! .",Mix ingredients -> Boil water -> Let it simmer -> Heat oil -> Add seasoning! .,FRENCH! .,3.0
Sweet & Spicy Carrot! .,"onion, chili, rice, olive oil, cheese! .",Add seasoning -> Chop ingredients -> Boil water! .,ITALIAN! .,3.0
Sugar Glazed Rice! .,"pasta, flour, cumin, turmeric, salt, onion! .",Chop ingredients -> Mix ingredients -> Add seasoning -> Garnish with herbs -> Let it simmer! .,FRENCH! .,5.0
Golden Chicken! .,"beef, lemon, rice! .",Heat oil -> Chop ingredients -> Add seasoning -> Serve hot! .,MEXICAN! .,2.0
Spaghetti Delight! .,"turmeric, pepper, basil, butter! .",Garnish with herbs -> Bake at 350°F -> Chop ingredients -> Mix ingredients -> Heat oil! .,ITALIAN! .,5.0
Sweet & Spicy Carrot! .,"chili, egg, chicken! .",Garnish with herbs -> Chop ingredients -> Bake at 350°F -> Mix ingredients -> Add seasoning! .,CHINESE! .,4.0
Herbal Lemon Rice! .,"beef, pepper, flour, sugar, salt, vanilla! .",Add seasoning -> Boil water -> Garnish with herbs -> Bake at 350°F! .,FRENCH! .,1.0
Sugar Glazed Rice! .,"sugar, tomato, chicken, butter, vanilla, cheese! .",Garnish with herbs -> Serve hot -> Bake at 350°F -> Mix ingredients! .,FRENCH! .,5.0
Spaghetti Delight! .,"carrot, chicken, spinach! .",Garnish with herbs -> Add seasoning -> Serve hot -> Heat oil -> Boil water! .,FRENCH! .,5.0
Sweet & Spicy Carrot! .,"potato, chili, rice, vanilla! .",Bake at 350°F -> Heat oil -> Let it simmer -> Serve hot! .,MEXICAN! .,5.0
Herbal Lemon Rice! .,"turmeric, rice, tomato, flour, salt! .",Let it simmer -> Mix ingredients -> Chop ingredients -> Boil water! .,MEXICAN! .,4.0
Sugar Glazed Rice! .,"rice, carrot, sugar, vanilla, tomato, potato! .",Boil water -> Serve hot -> Add seasoning -> Bake at 350°F! .,CHINESE! .,3.0
Golden Chicken! .,"olive oil, flour, garlic, cumin, carrot! .",Mix ingredients -> Heat oil -> Chop ingredients -> Garnish with herbs -> Let it simmer! .,INDIAN! .,4.0
Spaghetti Delight! .,"rice, lemon, basil, cumin, milk, salt! .",Boil water -> Heat oil -> Bake at 350°F -> Let it simmer -> Serve hot! .,MEXICAN! .,4.0
Sweet & Spicy Carrot! .,"tomato, butter, beef! .",Mix ingredients -> Add seasoning -> Garnish with herbs -> Serve hot -> Heat oil! .,FRENCH! .,4.0
Herbal Lemon Rice! .,"pepper, chili, milk, turmeric, rice, flour! .",Heat oil -> Garnish with herbs -> Add seasoning! .,ITALIAN! .,1.0
Sugar Glazed Rice! .,"turmeric, cumin, beef! .",Bake at 350°F -> Chop ingredients -> Boil water! .,ITALIAN! .,5.0
Golden Chicken! .,"onion, butter, tomato! .",Chop ingredients -> Let it simmer -> Boil water! .,THAI! .,1.0
Spaghetti Delight! .,"spinach, rice, sugar, potato, cumin, lemon! .",Serve hot -> Heat oil -> Mix ingredients -> Bake at 350°F -> Let it simmer! .,ITALIAN! .,3.0
Sweet & Spicy Carrot! .,"spinach, salt, olive oil, onion, chicken! .",Add seasoning -> Mix ingredients -> Heat oil -> Garnish with herbs -> Serve hot! .,MEXICAN! .,3.0
Herbal Lemon Rice! .,"vanilla, garlic, pasta! .",Chop ingredients -> Boil water -> Garnish with herbs! .,THAI! .,5.0
Sugar Glazed Rice! .,"beef, flour, butter! .",Boil water -> Garnish with herbs -> Bake at 350°F -> Chop ingredients -> Heat oil! .,FRENCH! .,1.0
Golden Chicken! .,"sugar, egg, turmeric, salt, cumin! .",Boil water -> Garnish with herbs -> Heat oil -> Serve hot -> Mix ingredients! .,AMERICAN! .,4.0
Sweet & Spicy Carrot! .,"basil, flour, chili, rice, cheese, carrot! .",Chop ingredients -> Serve hot -> Bake at 350°F -> Heat oil -> Garnish with herbs! .,MEXICAN! .,5.0
Herbal Lemon Rice! .,"sugar, basil, turmeric, tomato! .",Mix ingredients -> Chop ingredients -> Serve hot -> Garnish with herbs -> Add seasoning! .,INDIAN! .,4.0
Sugar Glazed Rice! .,"spinach, garlic, chili, basil! .",Bake at 350°F -> Chop ingredients -> Serve hot -> Heat oil -> Garnish with herbs! .,INDIAN! .,3.0
Golden Chicken! .,"spinach, pasta, cumin, cheese, chicken, pepper! .",Chop ingredients -> Let it simmer -> Add seasoning! .,CHINESE! .,3.0
Sweet & Spicy Carrot! .,"garlic, milk, beef, egg, cheese, chili! .",Let it simmer -> Serve hot -> Bake at 350°F -> Add seasoning! .,ITALIAN! .,2.0
Herbal Lemon Rice! .,"chili, beef, milk, lemon, turmeric! .",Add seasoning -> Chop ingredients -> Garnish with herbs -> Bake at 350°F -> Let it simmer! .,INDIAN! .,3.0
Sugar Glazed Rice! .,"sugar, olive oil, egg, spinach, carrot, cumin! .",Heat oil -> Bake at 350°F -> Garnish with herbs! .,CHINESE! .,2.0
Golden Chicken! .,"garlic, onion, chicken, rice, milk, flour! .",Chop ingredients -> Heat oil -> Boil water -> Serve hot! .,THAI! .,2.0
Spaghetti Delight! .,"chicken, olive oil, beef, basil! .",Bake at 350°F -> Let it simmer -> Mix ingredients! .,ITALIAN! .,4.0
Sweet & Spicy Carrot! .,"turmeric, spinach, potato, cumin! .",Heat oil -> Mix ingredients -> Let it simmer -> Boil water -> Bake at 350°F! .,ITALIAN! .,2.0
Sugar Glazed Rice! .,"sugar, chicken, tomato, egg! .",Bake at 350°F -> Serve hot -> Boil water -> Let it simmer -> Chop ingredients! .,MEXICAN! .,3.0
Golden Chicken! .,"chili, beef, spinach, lemon, potato! .",Heat oil -> Serve hot -> Garnish with herbs -> Mix ingredients! .,CHINESE! .,2.0
Spaghetti Delight! .,"cumin, basil, vanilla! .",Add seasoning -> Mix ingredients -> Let it simmer -> Chop ingredients! .,THAI! .,1.0
Sweet & Spicy Carrot! .,"beef, rice, spinach, cheese! .",Chop ingredients -> Garnish with herbs -> Mix ingredients -> Boil water! .,MEXICAN! .,1.0
Herbal Lemon Rice! .,"garlic, carrot, tomato, turmeric, pasta, flour! .",Boil water -> Serve hot -> Garnish with herbs -> Chop ingredients -> Bake at 350°F! .,FRENCH! .,2.0
Sugar Glazed Rice! .,"olive oil, pepper, chili, basil! .",Bake at 350°F -> Let it simmer -> Serve hot -> Garnish with herbs! .,ITALIAN! .,2.0
Spaghetti Delight! .,"pepper, cumin, salt, olive oil, flour! .",Boil water -> Chop ingredients -> Mix ingredients -> Heat oil! .,CHINESE! .,2.0
Sweet & Spicy Carrot! .,"potato, onion, carrot, rice, spinach! .",Boil water -> Heat oil -> Serve hot -> Bake at 350°F! .,FRENCH! .,5.0
Herbal Lemon Rice! .,"cheese, beef, rice, onion, salt! .",Garnish with herbs -> Chop ingredients -> Let it simmer -> Boil water! .,ITALIAN! .,3.0
Sugar Glazed Rice! .,"lemon, rice, vanilla, basil, tomato, pasta! .",Chop ingredients -> Mix ingredients -> Bake at 350°F! .,ITALIAN! .,1.0
Spaghetti Delight! .,"potato, beef, chicken, garlic, salt, basil! .",Heat oil -> Boil water -> Bake at 350°F! .,MEXICAN! .,2.0
Sweet & Spicy Carrot! .,"garlic, cumin, sugar, chicken, salt! .",Chop ingredients -> Let it simmer -> Serve hot -> Add seasoning! .,INDIAN! .,5.0
Herbal Lemon Rice! .,"tomato, flour, chicken, onion! .",Chop ingredients -> Mix ingredients -> Serve hot -> Let it simmer! .,ITALIAN! .,5.0
Sugar Glazed Rice! .,"rice, potato, carrot, turmeric, egg, tomato! .",Add seasoning -> Serve hot -> Mix ingredients! .,ITALIAN! .,1.0
Golden Chicken! .,"turmeric, milk, sugar, carrot, chili! .",Heat oil -> Bake at 350°F -> Let it simmer! .,AMERICAN! .,2.0
Spaghetti Delight! .,"cheese, tomato, pasta, beef! .",Chop ingredients -> Mix ingredients -> Let it simmer -> Add seasoning -> Bake at 350°F! .,FRENCH! .,4.0
Sweet & Spicy Carrot! .,"basil, chicken, beef! .",Add seasoning -> Mix ingredients -> Bake at 350°F -> Let it simmer -> Boil water! .,ITALIAN! .,2.0
Herbal Lemon Rice! .,"spinach, chili, garlic! .",Chop ingredients -> Add seasoning -> Heat oil! .,AMERICAN! .,5.0
Sugar Glazed Rice! .,"potato, milk, egg, chicken! .",Garnish with herbs -> Mix ingredients -> Add seasoning! .,THAI! .,1.0
Golden Chicken! .,"tomato, lemon, spinach, flour, butter, onion! .",Garnish with herbs -> Add seasoning -> Serve hot -> Boil water -> Mix ingredients! .,THAI! .,3.0
Spaghetti Delight! .,"lemon, chili, potato! .",Bake at 350°F -> Add seasoning -> Heat oil! .,ITALIAN! .,2.0
Sweet & Spicy Carrot! .,"turmeric, sugar, olive oil, butter! .",Chop ingredients -> Heat oil -> Let it simmer -> Bake at 350°F -> Serve hot! .,CHINESE! .,5.0
Herbal Lemon Rice! .,"basil, sugar, lemon, pepper, rice, chili! .",Boil water -> Let it simmer -> Add seasoning! .,CHINESE! .,1.0
Sugar Glazed Rice! .,"potato, milk, rice! .",Garnish with herbs -> Serve hot -> Heat oil -> Boil water! .,INDIAN! .,4.0
Golden Chicken! .,"butter, sugar, rice, olive oil, egg! .",Add seasoning -> Serve hot -> Boil water -> Let it simmer -> Garnish with herbs! .,AMERICAN! .,5.0
Spaghetti Delight! .,"pepper, potato, rice! .",Garnish with herbs -> Chop ingredients -> Boil water! .,THAI! .,4.0
Sweet & Spicy Carrot! .,"cumin, pasta, vanilla, spinach, basil! .",Mix ingredients -> Boil water -> Add seasoning! .,MEXICAN! .,5.0
Herbal Lemon Rice! .,"cumin, chicken, carrot, onion! .",Mix ingredients -> Bake at 350°F -> Serve hot -> Let it simmer! .,INDIAN! .,3.0
Sugar Glazed Rice! .,"basil, butter, potato, cumin, sugar! .",Mix ingredients -> Heat oil -> Serve hot -> Boil water! .,FRENCH! .,4.0
Golden Chicken! .,"egg, sugar, rice, potato, milk! .",Chop ingredients -> Add seasoning -> Let it simmer -> Garnish with herbs -> Mix ingredients! .,THAI! .,2.0
Spaghetti Delight! .,"potato, beef, butter, flour, cheese! .",Chop ingredients -> Heat oil -> Garnish with herbs! .,MEXICAN! .,4.0
Sweet & Spicy Carrot! .,"pepper, chili, tomato, flour! .",Serve hot -> Let it simmer -> Add seasoning -> Garnish with herbs! .,INDIAN! .,1.0
Herbal Lemon Rice! .,"lemon, vanilla, cumin, tomato, basil! .",Add seasoning -> Mix ingredients -> Garnish with herbs -> Chop ingredients! .,AMERICAN! .,2.0
Sugar Glazed Rice! .,"turmeric, salt, sugar, flour, pasta, spinach! .",Boil water -> Heat oil -> Let it simmer -> Bake at 350°F! .,FRENCH! .,1.0
Golden Chicken! .,"flour, beef, garlic, salt, potato! .",Mix ingredients -> Boil water -> Serve hot -> Heat oil -> Add seasoning! .,MEXICAN! .,3.0
Spaghetti Delight! .,"egg, potato, sugar! .",Add seasoning -> Mix ingredients -> Bake at 350°F! .,FRENCH! .,1.0
Sweet & Spicy Carrot! .,"turmeric, carrot, pasta, tomato, milk, sugar! .",Chop ingredients -> Add seasoning -> Mix ingredients -> Bake at 350°F -> Garnish with herbs! .,CHINESE! .,1.0
Herbal Lemon Rice! .,"spinach, carrot, tomato, milk, sugar, pasta! .",Add seasoning -> Chop ingredients -> Heat oil! .,CHINESE! .,4.0
Sugar Glazed Rice! .,"lemon, egg, salt, tomato, turmeric! .",Mix ingredients -> Garnish with herbs -> Let it simmer -> Chop ingredients! .,ITALIAN! .,4.0
Golden Chicken! .,"tomato, olive oil, carrot! .",Garnish with herbs -> Let it simmer -> Heat oil -> Bake at 350°F! .,MEXICAN! .,1.0
Spaghetti Delight! .,"turmeric, tomato, olive oil! .",Chop ingredients -> Bake at 350°F -> Add seasoning -> Garnish with herbs! .,FRENCH! .,5.0
Sweet & Spicy Carrot! .,"basil, carrot, chicken, lemon! .",Heat oil -> Chop ingredients -> Boil water! .,THAI! .,4.0
Herbal Lemon Rice! .,"chili, potato, salt! .",Let it simmer -> Garnish with herbs -> Boil water! .,INDIAN! .,3.0
Sugar Glazed Rice! .,"egg, chili, cheese, turmeric, basil! .",Chop ingredients -> Bake at 350°F -> Serve hot! .,ITALIAN! .,5.0
Golden Chicken! .,"spinach, carrot, olive oil, butter, beef, chili! .",Boil water -> Serve hot -> Heat oil -> Let it simmer -> Add seasoning! .,MEXICAN! .,1.0
Spaghetti Delight! .,"pepper, onion, olive oil, cumin, cheese! .",Heat oil -> Garnish with herbs -> Boil water -> Mix ingredients -> Chop ingredients! .,CHINESE! .,2.0
Sweet & Spicy Carrot! .,"pasta, salt, olive oil, butter! .",Garnish with herbs -> Bake at 350°F -> Let it simmer -> Boil water! .,INDIAN! .,1.0
Herbal Lemon Rice! .,"onion, egg, milk, olive oil, basil! .",Let it simmer -> Mix ingredients -> Serve hot -> Heat oil -> Garnish with herbs! .,CHINESE! .,5.0
Sugar Glazed Rice! .,"pasta, olive oil, spinach, lemon! .",Let it simmer -> Heat oil -> Garnish with herbs -> Bake at 350°F -> Chop ingredients! .,ITALIAN! .,3.0
Golden Chicken! .,"vanilla, chicken, carrot! .",Serve hot -> Let it simmer -> Bake at 350°F -> Chop ingredients! .,ITALIAN! .,5.0
Spaghetti Delight! .,"carrot, beef, flour, turmeric! .",Bake at 350°F -> Serve hot -> Let it simmer! .,THAI! .,2.0
Sweet & Spicy Carrot! .,"lemon, beef, spinach, tomato, butter! .",Add seasoning -> Mix ingredients -> Heat oil -> Chop ingredients -> Bake at 350°F! .,CHINESE! .,2.0
Herbal Lemon Rice! .,"lemon, rice, flour, pasta, sugar, butter! .",Boil water -> Bake at 350°F -> Chop ingredients! .,THAI! .,3.0
Sugar Glazed Rice! .,"sugar, onion, basil, carrot, rice! .",Heat oil -> Mix ingredients -> Let it simmer -> Serve hot -> Bake at 350°F! .,AMERICAN! .,4.0
Golden Chicken! .,"salt, beef, potato, vanilla, rice! .",Garnish with herbs -> Serve hot -> Add seasoning -> Bake at 350°F! .,CHINESE! .,1.0
Spaghetti Delight! .,"pepper, pasta, butter! .",Mix ingredients -> Chop ingredients -> Let it simmer! .,MEXICAN! .,5.0
Sweet & Spicy Carrot! .,"tomato, milk, onion, olive oil, garlic, cumin! .",Mix ingredients -> Boil water -> Heat oil! .,FRENCH! .,5.0
Sugar Glazed Rice! .,"garlic, pepper, chili, basil, vanilla, pasta! .",Boil water -> Add seasoning -> Mix ingredients -> Let it simmer! .,INDIAN! .,1.0
Golden Chicken! .,"turmeric, lemon, pepper, milk! .",Mix ingredients -> Chop ingredients -> Bake at 350°F -> Add seasoning -> Heat oil! .,FRENCH! .,2.0
Spaghetti Delight! .,"cheese, potato, salt, garlic! .",Boil water -> Bake at 350°F -> Serve hot -> Let it simmer! .,MEXICAN! .,3.0
Sweet & Spicy Carrot! .,"vanilla, salt, turmeric, potato! .",Serve hot -> Bake at 350°F -> Mix ingredients -> Add seasoning! .,ITALIAN! .,5.0
Sugar Glazed Rice! .,"sugar, onion, garlic, beef, pepper, spinach! .",Chop ingredients -> Heat oil -> Add seasoning! .,ITALIAN! .,5.0
Golden Chicken! .,"butter, pasta, sugar, tomato! .",Let it simmer -> Add seasoning -> Chop ingredients -> Serve hot! .,AMERICAN! .,3.0
Spaghetti Delight! .,"salt, carrot, pasta! .",Let it simmer -> Mix ingredients -> Heat oil -> Garnish with herbs -> Chop ingredients! .,ITALIAN! .,1.0
Sweet & Spicy Carrot! .,"spinach, cumin, milk, beef, lemon! .",Chop ingredients -> Boil water -> Serve hot -> Garnish with herbs! .,AMERICAN! .,1.0
Herbal Lemon Rice! .,"lemon, chili, onion, cheese, rice, beef! .",Mix ingredients -> Garnish with herbs -> Serve hot! .,CHINESE! .,1.0
Sugar Glazed Rice! .,"butter, cumin, potato, beef! .",Bake at 350°F -> Heat oil -> Boil water! .,INDIAN! .,5.0
Golden Chicken! .,"olive oil, basil, potato, carrot, spinach, salt! .",Heat oil -> Add seasoning -> Boil water -> Garnish with herbs! .,THAI! .,1.0
Spaghetti Delight! .,"chicken, chili, lemon! .",Let it simmer -> Mix ingredients -> Bake at 350°F -> Boil water! .,MEXICAN! .,3.0
Sweet & Spicy Carrot! .,"cheese, tomato, salt! .",Boil water -> Heat oil -> Garnish with herbs -> Chop ingredients! .,FRENCH! .,1.0
Herbal Lemon Rice! .,"beef, pasta, cumin, pepper, garlic! .",Garnish with herbs -> Chop ingredients -> Bake at 350°F -> Serve hot! .,CHINESE! .,5.0
Sugar Glazed Rice! .,"cumin, cheese, basil, sugar, chili! .",Garnish with herbs -> Serve hot -> Chop ingredients -> Boil water -> Mix ingredients! .,THAI! .,1.0
Golden Chicken! .,"tomato, cheese, olive oil, rice, potato, carrot! .",Chop ingredients -> Garnish with herbs -> Let it simmer -> Add seasoning! .,THAI! .,1.0
Spaghetti Delight! .,"chicken, lemon, beef, vanilla, chili, sugar! .",Add seasoning -> Chop ingredients -> Mix ingredients -> Serve hot -> Let it simmer! .,THAI! .,5.0
Sweet & Spicy Carrot! .,"egg, salt, cheese, flour, cumin! .",Mix ingredients -> Boil water -> Add seasoning -> Heat oil -> Let it simmer! .,INDIAN! .,1.0
